qb,att,cmp,yds,ypa,int,lg,sack,loss,accuracy,td
Aaron RodgersA. Rodgers,0.22544334085259096,0.47152207524742595,-0.26283243626184094,-0.43970323389698973,0.30023783122549075,-0.7503009229593208,0.5795281025593848,0.0911540284069547,0.45723798135833593,1
Russell WilsonR. Wilson,-0.14387528641880856,0.020979329035133457,-0.2437489451721758,-0.13408671689609003,-0.8261202436825615,-0.19496515006865278,-0.5634432409373284,-1.0037301537083985,0.3466254605010959,2
Drew BreesD. Brees,0.8902168699411102,1.1473361945658647,1.1111789221940493,0.17152980010480992,0.30023783122549075,1.1378407048689507,-1.134928912685685,-1.0037301537083985,0.41819826811460387,1
Matt RyanM. Ryan,0.96408059539539,1.372607567672011,2.208479659849795,0.8661127932886731,-0.8261202436825615,0.9712399730017502,-0.5634432409373284,-0.7691121146836799,0.6012914968933455,3
Matt CasselM. Cassel,-0.3654664627816483,-0.2042920440710128,-0.44412560161365977,-0.13408671689609003,-0.8261202436825615,-0.8058345002483877,-1.134928912685685,-1.0037301537083985,0.355214197414717,2
Austin DavisA. Davis,-0.5131939136902082,-0.3169277306240859,-0.2342071996273432,0.2826630790142281,0.30023783122549075,-0.4726330365139868,1.1510137743077415,0.6385961194646312,0.44931688012047694,0
Shaun HillS. Hill,-1.2518311682330072,-1.2180132230486709,-1.2933409551037587,-0.3007866352602171,0.30023783122549075,-0.7503009229593208,-0.5634432409373284,-0.5344940756589613,-0.033260979909063064,0
Brian HoyerB. Hoyer,0.0038521644897512434,-0.09165635751793967,0.05204516671763393,0.03261320146803728,-0.8261202436825615,0.5825049319782826,0.5795281025593848,0.8732141584893498,-0.12575506974805864,1
Ben RoethlisbergerB. Roethlisberger,0.2993070663068709,0.47152207524742595,1.4165147796286917,0.9494627524707364,0.30023783122549075,0.2493034682438817,0.5795281025593848,0.0911540284069547,0.33399496503988857,1
Robert GoldenR. Golden,-2.1381958736843663,-2.006463028920183,-1.8276787056143826,4.9224774734824335,-0.8261202436825615,-0.6392337683811873,-1.134928912685685,-1.0037301537083985,2.2790912660658176,0
Chad HenneC. Henne,0.96408059539539,0.584157761800499,0.47188197069026705,-0.3007866352602171,-0.8261202436825615,0.5269713546892157,0.5795281025593848,0.8732141584893498,-0.3774250351239293,2
Nick FolesN. Foles,1.11180804630395,0.9220648214597185,1.006219721200891,-0.022953437986671828,0.30023783122549075,1.7487100550486856,1.722499446056098,2.6719524576788585,-0.12575506974805864,2
Derek CarrD. Carr,0.15157961539831105,0.1336150155882066,-0.6254187669654786,-0.717536431170535,-0.8261202436825615,-0.3615658819358532,0.008042430811028223,0.40397808043991273,0.024547826240308743,2
Geno SmithG. Smith,-0.14387528641880856,0.47152207524742595,0.042503421172801356,0.17152980010480992,0.30023783122549075,-0.5837001910921205,0.008042430811028223,1.4206562495470265,1.2054991518631941,1
Michael VickM. Vick,-2.1381958736843663,-2.119098715473256,-2.066222344235197,-2.023352458356198,-0.8261202436825615,-2.0275732006078577,-1.134928912685685,-1.0037301537083985,-3.7330245734688723,0
Andy DaltonA. Dalton,0.5947619681239905,0.6967934483535723,0.805843064759407,0.17152980010480992,-0.8261202436825615,2.248512250650287,-1.134928912685685,-1.0037301537083985,0.22231479464605539,1
Joe FlaccoJ. Flacco,2.3674913790267085,1.8231503138843035,1.2256798687320403,-0.46748655362434444,0.30023783122549075,2.415112982517487,0.5795281025593848,0.24756605442343374,-0.3390882124412246,1
E.J. ManuelE. Manuel,-0.587057639144488,-0.3169277306240859,-0.4155003649791621,0.17152980010480992,0.30023783122549075,-0.2504987273577196,-0.5634432409373284,-0.5344940756589613,0.6394233098290839,1
Jay CutlerJ. Cutler,1.4072629481210694,1.7105146273312304,1.2638468509113705,-0.050736757714026505,1.426595906133543,0.41590420011108215,0.008042430811028223,-0.3780820496424823,0.4386476417184634,2
Robert Griffin IIIR. Griffin,0.5208982426697106,1.1473361945658647,0.48142371623509966,-0.022953437986671828,-0.8261202436825615,0.6380385092673494,0.5795281025593848,1.0296261845058288,0.9791743277880466,0
Ryan FitzpatrickR. Fitzpatrick,-0.587057639144488,-0.5421991037302322,-0.10062276199968721,0.5882795960151278,-0.8261202436825615,2.19297867336122,-1.134928912685685,-1.0037301537083985,0.09286732441683924,1
Jake LockerJ. Locker,0.22544334085259096,0.35888638869435285,0.47188197069026705,0.22709643955951878,-0.8261202436825615,0.13823631366574807,1.1510137743077415,0.7950081454811103,0.27505265288758723,2
Alex SmithA. Smith,0.3731707917611508,0.020979329035133457,-0.1387897441790175,-0.4119199141696353,2.552953981041595,-0.5281666138030536,1.1510137743077415,0.8732141584893498,-0.46930454629289814,1
Tom BradyT. Brady,1.924309026301029,1.1473361945658647,0.30967229642811334,-0.8008863903525986,-0.8261202436825615,0.41590420011108215,1.1510137743077415,0.7950081454811103,-0.6196074422812649,1
Ryan TannehillR. Tannehill,0.15157961539831105,-0.09165635751793967,-0.3677916372549992,-0.46748655362434444,0.30023783122549075,-0.6947673456702541,-0.5634432409373284,-0.29987603663424284,-0.3512094137306094,2
Derek AndersonD. Anderson,0.2993070663068709,0.584157761800499,0.1283791310762945,-0.13408671689609003,-0.8261202436825615,-0.5837001910921205,-0.5634432409373284,-0.29987603663424284,0.5108219014967913,2
Josh McCownJ. McCown,0.3731707917611508,0.35888638869435285,-0.32008290953083635,-0.5786198325337624,1.426595906133543,-0.5837001910921205,0.5795281025593848,0.6385961194646312,0.04601966852436113,2
Colin KaepernickC. Kaepernick,-0.5131939136902082,-0.3169277306240859,-0.14833148972385007,0.3937963579236458,-0.8261202436825615,0.02716915908761446,-0.5634432409373284,-0.29987603663424284,0.44931688012047694,2
Tony RomoT. Romo,0.5208982426697106,0.47152207524742595,0.6150081538627556,0.08817984092274614,2.552953981041595,1.082307127579884,0.5795281025593848,1.0296261845058288,0.004236624079718449,1
Andrew LuckA. Luck,1.7027178499381892,1.8231503138843035,1.4642235073528544,-0.07852007744138093,1.426595906133543,0.2493034682438817,0.5795281025593848,0.24756605442343374,0.23724060358233764,2
Peyton ManningP. Manning,0.4470345172154307,0.35888638869435285,0.5005072073247648,0.060396521195391704,-0.8261202436825615,0.1937698909548149,-0.5634432409373284,-0.22167002362600333,-0.0589537826421172,3
Eli ManningE. Manning,0.22544334085259096,-0.09165635751793967,-0.5109178204274878,-0.6619697917158259,1.426595906133543,-0.8613680775374545,0.008042430811028223,0.4821840934481523,-0.45368866099540545,1
Matthew StaffordM. Stafford,0.15157961539831105,0.35888638869435285,1.2352216142768728,0.9772460721980913,-0.8261202436825615,1.6931764777596188,-0.5634432409373284,-0.6127000886672008,0.40030506621122686,2
Philip RiversP. Rivers,0.4470345172154307,0.24625070214127973,0.20471309543495508,-0.18965335635079913,0.30023783122549075,-0.13943157277958598,-1.134928912685685,-1.0037301537083985,-0.22595700040696978,1
Carson PalmerC. Palmer,0.5208982426697106,0.584157761800499,0.8344683013939048,0.2548797592868732,-0.8261202436825615,1.4710421686033515,0.008042430811028223,-0.22167002362600333,0.16672624136444014,2
Ben RoethlisbergerB. Roethlisberger,0.5208982426697106,0.35888638869435285,0.0043364389934710725,-0.38413659444228065,0.30023783122549075,-0.5281666138030536,0.008042430811028223,0.16936004141519423,-0.15825299320500258,0
Joe FlaccoJ. Flacco,-0.07001156096452867,0.24625070214127973,-0.48229258379299006,-0.43970323389698973,-0.8261202436825615,-0.6947673456702541,-1.134928912685685,-1.0037301537083985,0.6205765517114202,2
Ryan TannehillR. Tannehill,1.4072629481210694,1.372607567672011,0.2333383320694528,-0.6619697917158259,0.30023783122549075,-1.0279688094046548,1.1510137743077415,1.4206562495470265,0.0705589168489928,1
E.J. ManuelE. Manuel,-0.2916027373273684,-0.3169277306240859,-0.1387897441790175,0.14374648037745524,-0.8261202436825615,-0.3615658819358532,-1.134928912685685,-1.0037301537083985,-0.033260979909063064,1
Chad HenneC. Henne,-0.14387528641880856,-0.5421991037302322,-0.22466545408251065,-0.10630339716873535,0.30023783122549075,1.4710421686033515,4.579927804797881,4.470690756868367,-0.7269666537015275,1
Kirk CousinsK. Cousins,0.22544334085259096,0.35888638869435285,0.31921404197294595,0.08817984092274614,-0.8261202436825615,-0.3060323046467864,0.008042430811028223,0.6385961194646312,0.27505265288758723,2
Robert Griffin IIIR. Griffin,-1.9904684227758063,-1.8938273423671097,-1.7036360135315591,1.505129147017827,-0.8261202436825615,-0.9724352321155881,-0.5634432409373284,-0.29987603663424284,0.27505265288758723,0
Tony RomoT. Romo,-0.07001156096452867,0.020979329035133457,-0.38687512834466437,-0.3285699549875718,-0.8261202436825615,-0.8058345002483877,1.1510137743077415,1.1860382105223077,0.20594787312282078,1
Jake LockerJ. Locker,0.2993070663068709,-0.09165635751793967,0.1665461132556248,-0.10630339716873535,1.426595906133543,1.3599750140252178,0.008042430811028223,-0.8473181276919194,-0.5501397172446247,1
Drew StantonD. Stanton,-0.07001156096452867,-0.5421991037302322,-0.4727508382481575,-0.4119199141696353,-0.8261202436825615,-0.2504987273577196,1.1510137743077415,0.9514201714975893,-0.8306238233486771,0
Eli ManningE. Manning,0.6686256935782704,0.8094291349066454,0.5768411716834254,-0.050736757714026505,1.426595906133543,-0.41709945922492003,0.008042430811028223,0.32577206743167325,0.27505265288758723,2
Tom BradyT. Brady,-0.6609213645987679,-0.5421991037302322,-0.6445022580551438,-0.050736757714026505,-0.8261202436825615,0.41590420011108215,-0.5634432409373284,-0.45628806265072186,0.27505265288758723,1
Matt CasselM. Cassel,0.4470345172154307,0.020979329035133457,-0.1387897441790175,-0.46748655362434444,3.6793120559496475,-0.5837001910921205,2.2939851178044544,2.0463043536129426,-0.5599634359366749,1
Drew BreesD. Brees,0.7424894190325504,0.9220648214597185,0.1951713498901225,-0.38413659444228065,0.30023783122549075,-0.7503009229593208,0.008042430811028223,0.0911540284069547,0.32515361821704347,2
Brian HoyerB. Hoyer,0.7424894190325504,0.584157761800499,-0.11970625308935236,-0.6064031522611171,-0.8261202436825615,-0.4726330365139868,-0.5634432409373284,-0.8473181276919194,-0.12575506974805864,1
Johnny ManzielJ. Manziel,-2.1381958736843663,-2.119098715473256,-2.066222344235197,-2.023352458356198,-0.8261202436825615,-2.0275732006078577,-1.134928912685685,-1.0037301537083985,-3.7330245734688723,0
Matt RyanM. Ryan,1.03794432084967,0.584157761800499,0.13792087662112706,-0.5786198325337624,2.552953981041595,-0.6947673456702541,0.008042430811028223,0.4821840934481523,-0.45368866099540545,1
Andy DaltonA. Dalton,-0.5131939136902082,-0.42956341717715907,0.33829753306261107,1.0328127116528,-0.8261202436825615,2.19297867336122,-1.134928912685685,-1.0037301537083985,0.18792053927114277,1
Mohamed SanuM. Sanu,-2.1381958736843663,-2.006463028920183,-1.5891350669935684,11.868307405321065,-0.8261202436825615,0.7491056638454829,-1.134928912685685,-1.0037301537083985,2.2790912660658176,0
Matthew StaffordM. Stafford,1.3333992226667897,0.9220648214597185,0.7104256093110813,-0.3285699549875718,0.30023783122549075,-0.6392337683811873,1.1510137743077415,1.968098340604703,-0.3512094137306094,1
Cam NewtonC. Newton,0.2993070663068709,0.35888638869435285,0.6150081538627556,0.2826630790142281,-0.8261202436825615,-0.6947673456702541,1.1510137743077415,1.342450236538787,0.15716802858298592,1
Austin DavisA. Davis,-0.07001156096452867,0.35888638869435285,0.17608785880045735,0.22709643955951878,-0.8261202436825615,-0.5281666138030536,0.008042430811028223,0.16936004141519423,0.8278908910057197,0
Josh McCownJ. McCown,-0.6609213645987679,-0.3169277306240859,-0.35824989171016663,0.33822971846893696,0.30023783122549075,-0.41709945922492003,-0.5634432409373284,-0.6909061016754404,0.8476351137956529,0
Russell WilsonR. Wilson,-0.3654664627816483,-0.2042920440710128,-0.1387897441790175,0.22709643955951878,-0.8261202436825615,-0.2504987273577196,0.008042430811028223,0.7168021324728708,0.355214197414717,2
Philip RiversP. Rivers,0.5208982426697106,1.0347005080127916,0.6436333904972533,0.11596316065010082,-0.8261202436825615,-0.8613680775374545,-0.5634432409373284,-0.3780820496424823,0.8166847105033256,3
Ryan FitzpatrickR. Fitzpatrick,-0.8086488155073278,-0.5421991037302322,-0.7399197135034695,0.0048298817406826015,-0.8261202436825615,-0.5837001910921205,-1.134928912685685,-1.0037301537083985,0.6969555188198462,2
Derek CarrD. Carr,0.8902168699411102,0.9220648214597185,0.4432567340557694,-0.27300331553286267,1.426595906133543,0.3048370455329485,-1.134928912685685,-1.0037301537083985,0.13190703766057135,1
Geno SmithG. Smith,0.15157961539831105,-0.3169277306240859,-0.38687512834466437,-0.49526987335169886,0.30023783122549075,-0.41709945922492003,-0.5634432409373284,-0.45628806265072186,-0.7269666537015275,1
Michael VickM. Vick,-2.2120595991386462,-2.119098715473256,-2.066222344235197,-2.023352458356198,-0.8261202436825615,-2.0275732006078577,-0.5634432409373284,-0.7691121146836799,,0
Aaron RodgersA. Rodgers,0.8902168699411102,0.6967934483535723,1.2352216142768728,0.2548797592868732,-0.8261202436825615,2.415112982517487,1.1510137743077415,1.811686314588224,-0.15438419279346183,3
Alex SmithA. Smith,0.8902168699411102,0.8094291349066454,0.3669227696971088,-0.3285699549875718,-0.8261202436825615,-0.6947673456702541,0.008042430811028223,-0.3780820496424823,-0.011238577566445234,0
Peyton ManningP. Manning,-0.2916027373273684,0.24625070214127973,0.24288007761428537,0.5604962762877734,-0.8261202436825615,0.6380385092673494,-0.5634432409373284,-0.6127000886672008,1.1229151430783773,3
Jay CutlerJ. Cutler,0.2993070663068709,0.47152207524742595,-0.38687512834466437,-0.5786198325337624,-0.8261202436825615,-0.41709945922492003,-0.5634432409373284,-0.5344940756589613,0.33399496503988857,4
Colin KaepernickC. Kaepernick,0.2993070663068709,0.24625070214127973,0.3001305508832808,0.0048298817406826015,2.552953981041595,-0.6947673456702541,1.1510137743077415,0.24756605442343374,-0.019658907873916758,1
Nick FolesN. Foles,0.5208982426697106,0.24625070214127973,1.0920954311043842,0.44936299737835517,0.30023783122549075,1.1378407048689507,-1.134928912685685,-1.0037301537083985,-0.32074261048972424,1
Andrew LuckA. Luck,0.2993070663068709,0.1336150155882066,-0.42504211052399465,-0.6064031522611171,0.30023783122549075,-0.9724352321155881,-1.134928912685685,-1.0037301537083985,-0.19648584433081945,3
Mike GlennonM. Glennon,-0.43933018823592823,-0.2042920440710128,-0.9116711333104558,-0.6341864719884714,-0.8261202436825615,-1.2501031185609222,0.008042430811028223,0.40397808043991273,0.5255574795348664,1
Josh McCownJ. McCown,-1.3256948936872872,-1.5559202827078904,-1.5128011026349077,-0.6897531114431806,0.30023783122549075,-0.02836441820145235,-0.5634432409373284,-0.3780820496424823,-1.2279763069960847,0
Matt RyanM. Ryan,-0.43933018823592823,0.24625070214127973,0.6627168815869185,1.282862589198991,-0.8261202436825615,0.1937698909548149,-0.5634432409373284,-0.5344940756589613,1.527576786123981,3
T.J. YatesT. Yates,-1.9166046973215265,-1.7811916558140366,-1.4555506293659124,2.4219786980205265,0.30023783122549075,0.1937698909548149,-1.134928912685685,-1.0037301537083985,0.776062306182145,0
Philip RiversP. Rivers,-0.3654664627816483,-0.09165635751793967,0.37646451524194136,0.8105461538339638,-0.8261202436825615,0.6935720865564162,0.008042430811028223,-0.5344940756589613,0.5956988309961041,2
E.J. ManuelE. Manuel,0.6686256935782704,0.47152207524742595,0.20471309543495508,-0.3285699549875718,-0.8261202436825615,0.02716915908761446,0.5795281025593848,1.5770682755635055,-0.18741779630738856,1
Fred JacksonF. Jackson,-2.1381958736843663,-2.119098715473256,-2.066222344235197,-2.023352458356198,-0.8261202436825615,-2.0275732006078577,-1.134928912685685,-1.0037301537083985,-3.7330245734688723,0
Tony RomoT. Romo,-0.5131939136902082,-0.09165635751793967,0.0043364389934710725,0.5882795960151278,0.30023783122549075,1.7487100550486856,-1.134928912685685,-1.0037301537083985,0.9721095618191459,2
Austin DavisA. Davis,0.8902168699411102,1.259971881118938,1.053928448925054,0.14374648037745524,1.426595906133543,0.8046392411345498,-1.134928912685685,-1.0037301537083985,0.5613438833416204,3
Kirk CousinsK. Cousins,1.3333992226667897,1.259971881118938,2.008103003408311,0.44936299737835517,0.30023783122549075,2.470646559806554,-1.134928912685685,-1.0037301537083985,0.024547826240308743,3
Nick FolesN. Foles,0.8163531444868303,0.9220648214597185,1.0348449578353889,0.17152980010480992,-0.8261202436825615,0.7491056638454829,-1.134928912685685,-1.0037301537083985,0.226173662322265,3
Ryan FitzpatrickR. Fitzpatrick,0.2993070663068709,0.1336150155882066,0.6913421182214162,0.33822971846893696,2.552953981041595,0.6935720865564162,0.008042430811028223,-0.45628806265072186,-0.19648584433081945,1
Shane LechlerS. Lechler,-2.1381958736843663,-2.006463028920183,-1.9708048887868712,0.7549795143792549,-0.8261202436825615,-1.4722374277171895,-1.134928912685685,-1.0037301537083985,2.2790912660658176,0
Eli ManningE. Manning,-0.14387528641880856,0.24625070214127973,0.1665461132556248,0.31044639874158253,-0.8261202436825615,1.3599750140252178,-0.5634432409373284,-0.3780820496424823,0.776062306182145,2
Teddy BridgewaterT. Bridgewater,-0.7347850900530478,-0.7674704768363785,-0.6349605125103113,0.060396521195391704,-0.8261202436825615,0.2493034682438817,0.008042430811028223,0.16936004141519423,-0.12575506974805864,0
Matt CasselM. Cassel,-1.473422344595847,-1.5559202827078904,-1.5605098303590705,-0.550836512806408,-0.8261202436825615,-0.4726330365139868,-1.134928912685685,-1.0037301537083985,-0.7269666537015275,0
Drew BreesD. Brees,0.3731707917611508,0.9220648214597185,0.7295091004007465,0.31044639874158253,-0.8261202436825615,-0.13943157277958598,-0.5634432409373284,-0.6127000886672008,0.9048933598864599,2
Jake LockerJ. Locker,0.2993070663068709,-0.2042920440710128,-0.30099941844117123,-0.5230531930790533,1.426595906133543,-0.4726330365139868,0.008042430811028223,-0.3780820496424823,-0.7269666537015275,0
Andy DaltonA. Dalton,-0.5131939136902082,-0.42956341717715907,-0.4536673471584924,0.0048298817406826015,0.30023783122549075,-0.41709945922492003,-1.134928912685685,-1.0037301537083985,0.18792053927114277,0
Jason CampbellJ. Campbell,-2.0643321482300863,-2.006463028920183,-2.0948475808696947,-2.440102254266516,-0.8261202436825615,-2.1941739324750578,-1.134928912685685,-1.0037301537083985,-0.7269666537015275,0
Mohamed SanuM. Sanu,-2.1381958736843663,-2.006463028920183,-1.8944709244282107,2.977645092567617,-0.8261202436825615,-1.0279688094046548,-1.134928912685685,-1.0037301537083985,2.2790912660658176,1
Joe FlaccoJ. Flacco,0.07771588994403116,0.020979329035133457,0.0043364389934710725,-0.07852007744138093,0.30023783122549075,-0.19496515006865278,-1.134928912685685,-1.0037301537083985,-0.048179381495997924,1
Brian HoyerB. Hoyer,-0.3654664627816483,0.020979329035133457,0.7008838637662488,1.1995126300169272,-0.8261202436825615,1.8597772096268192,-1.134928912685685,-1.0037301537083985,0.8361834645774919,1
Aaron RodgersA. Rodgers,-0.21773901187308847,-0.3169277306240859,-0.5204595659723203,-0.3563532747149262,-0.8261202436825615,-1.0279688094046548,0.008042430811028223,0.16936004141519423,-0.17028926115201937,1
Matthew StaffordM. Stafford,0.2993070663068709,0.35888638869435285,0.28104705979361566,-0.022953437986671828,1.426595906133543,0.8601728184236166,0.008042430811028223,-0.3780820496424823,0.15716802858298592,0
Andrew LuckA. Luck,0.6686256935782704,1.372607567672011,1.4642235073528544,0.6160629157424823,-0.8261202436825615,0.13823631366574807,0.008042430811028223,-0.6127000886672008,1.0458367348792141,4
Matt HasselbeckM. Hasselbeck,-1.9166046973215265,-1.8938273423671097,-1.8753874333385454,-0.6341864719884714,-0.8261202436825615,-1.3611702731390558,-1.134928912685685,-1.0037301537083985,-0.7269666537015275,0
Blake BortlesB. Bortles,-0.43933018823592823,-0.5421991037302322,0.0615869122624665,0.5604962762877734,1.426595906133543,1.4710421686033515,-0.5634432409373284,-0.5344940756589613,-0.22595700040696978,2
Chad HenneC. Henne,-1.6950135209586867,-1.6685559692609635,-1.7513447412557221,-0.717536431170535,-0.8261202436825615,-1.2501031185609222,0.5795281025593848,-0.14346401061776382,-0.2975298080204784,0
Derek CarrD. Carr,0.2993070663068709,0.24625070214127973,-0.4059586194343295,-0.6064031522611171,0.30023783122549075,-0.41709945922492003,-1.134928912685685,-1.0037301537083985,-0.019658907873916758,0
Tom BradyT. Brady,0.5208982426697106,0.584157761800499,0.1665461132556248,-0.27300331553286267,-0.8261202436825615,-0.8058345002483877,0.008042430811028223,0.0129480153987152,0.16672624136444014,1
Colin KaepernickC. Kaepernick,0.5208982426697106,1.1473361945658647,0.27150531424878305,-0.18965335635079913,-0.8261202436825615,-0.2504987273577196,-0.5634432409373284,-0.29987603663424284,0.9791743277880466,1
Drew StantonD. Stanton,0.22544334085259096,-0.09165635751793967,0.2619635687039505,0.03261320146803728,-0.8261202436825615,0.4714377774001489,-1.134928912685685,-1.0037301537083985,-0.45368866099540545,2
Ted Ginn Jr.T. Ginn,-2.1381958736843663,-2.006463028920183,-1.9708048887868712,0.7549795143792549,-0.8261202436825615,-1.4722374277171895,-1.134928912685685,-1.0037301537083985,2.2790912660658176,0
